A-site,B-site,X-site,T_f,O_f,r_A.eff,P_A,A_HOMO,χ_B,r_B_s+p,A_LUMO,r_B,IE_B,P_B,EA_B,X_p-electron,IC_B,1st_IP_B,VE_B,B_d-electron,1st_IP_X,χ_X,P_X,IC_X,r_X_s+p,r_X,X_s-electron,B_p-electron,EA_X,B_s-electron,X_d-electron,B_f-electron,X_f-electron,bandgap-ML(eV)
NH2NH3,Ag,F,1.0902527463228706,0.7067669172932329,2.17,2.603313579,-12.982000000000001,1.07,2.375,-6.67,0.94,21.47746,7.2,1.3019999999999998,6,45,7.58,9,19,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,8,0,0,0,1.311834094722136
NH2NH3,Ag,Cl,1.0233763596808942,0.5193370165745856,2.17,2.603313579,-12.982000000000001,1.07,2.375,-6.67,0.94,21.47746,7.2,1.3019999999999998,11,45,7.58,9,19,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,1.109764374557147
NH2NH3,Ag,Br,1.0070175883794623,0.4795918367346938,2.17,2.603313579,-12.982000000000001,1.07,2.375,-6.67,0.94,21.47746,7.2,1.3019999999999998,18,45,7.58,9,19,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0.5262598540785323
NH2NH3,Ag,I,0.984094469358348,0.4272727272727272,2.17,2.603313579,-12.982000000000001,1.07,2.375,-6.67,0.94,21.47746,7.2,1.3019999999999998,24,45,7.58,9,19,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0,0.4793589119731501
NH2NH3,As,F,1.2131733990945666,0.5338345864661653,2.17,2.603313579,-12.982000000000001,2.27,1.415,-6.67,0.71,18.5892,4.31,0.804,6,31,9.81,3,10,17.42,3.98,0.557,10,0.405,1.33,4,13,3.4010000000000002,8,0,0,0,1.1745896512423717
NH2NH3,As,Cl,1.1167797575882774,0.3922651933701657,2.17,2.603313579,-12.982000000000001,2.27,1.415,-6.67,0.71,18.5892,4.31,0.804,11,31,9.81,3,10,12.97,3.16,2.18,18,1.01,1.81,6,13,3.613,8,0,0,0,1.0167094902498242
NH2NH3,As,Br,1.0937644218353713,0.3622448979591837,2.17,2.603313579,-12.982000000000001,2.27,1.415,-6.67,0.71,18.5892,4.31,0.804,18,31,9.81,3,10,11.81,2.96,3.04,36,1.2,1.96,8,13,3.364,8,10,0,0,0.17320569209133793
NH2NH3,As,I,1.0618751318849526,0.3227272727272727,2.17,2.603313579,-12.982000000000001,2.27,1.415,-6.67,0.71,18.5892,4.31,0.804,24,31,9.81,3,10,10.45,2.66,4.7,54,1.585,2.2,10,13,3.0589999999999997,8,20,0,0,0.1390885153946052
NH2NH3,Au,F,1.1591914445681106,0.6052631578947368,2.17,2.603313579,-12.982000000000001,1.19,2.66,-6.67,0.805,20.2,5.8,2.30863,6,77,9.23,9,29,17.42,3.98,0.557,10,0.405,1.33,4,24,3.4010000000000002,10,0,14,0,1.6560819810422942
NH2NH3,Au,Cl,1.0762084088422403,0.4447513812154696,2.17,2.603313579,-12.982000000000001,1.19,2.66,-6.67,0.805,20.2,5.8,2.30863,11,77,9.23,9,29,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,14,0,1.4982018200497471
NH2NH3,Au,Br,1.0561848124052229,0.41071428571428575,2.17,2.603313579,-12.982000000000001,1.19,2.66,-6.67,0.805,20.2,5.8,2.30863,18,77,9.23,9,29,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,10,10,14,0,0.6451865064010182
NH2NH3,Au,I,1.0283050362014017,0.3659090909090909,2.17,2.603313579,-12.982000000000001,1.19,2.66,-6.67,0.805,20.2,5.8,2.30863,24,77,9.23,9,29,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,10,20,14,0,0.5717447900460298
NH2NH3,Ba,F,0.923460348564521,1.0150375939849623,2.17,2.603313579,-12.982000000000001,1.08,3.4019999999999997,-6.67,1.35,10.00383,39.7,0.14462,6,54,5.21,0,20,17.42,3.98,0.557,10,0.405,1.33,4,24,3.4010000000000002,10,0,0,0,5.011911049730028
NH2NH3,Ba,Cl,0.8905965155450819,0.7458563535911602,2.17,2.603313579,-12.982000000000001,1.08,3.4019999999999997,-6.67,1.35,10.00383,39.7,0.14462,11,54,5.21,0,20,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,0,0,4.930041673854003
NH2NH3,Ba,Br,0.8822812707856318,0.6887755102040817,2.17,2.603313579,-12.982000000000001,1.08,3.4019999999999997,-6.67,1.35,10.00383,39.7,0.14462,18,54,5.21,0,20,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,10,10,0,0,4.784452167102115
NH2NH3,Ba,I,0.8704384883902007,0.6136363636363636,2.17,2.603313579,-12.982000000000001,1.08,3.4019999999999997,-6.67,1.35,10.00383,39.7,0.14462,24,54,5.21,0,20,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,10,20,0,0,4.216328623148709
NH2NH3,Bi,F,0.9820927516479826,0.8947368421052628,2.17,2.603313579,-12.982000000000001,2.14,1.9969999999999999,-6.67,1.19,16.703,7.4,0.942362,6,81,7.29,3,30,17.42,3.98,0.557,10,0.405,1.33,4,25,3.4010000000000002,12,0,14,0,1.435996449652545
NH2NH3,Bi,Cl,0.938094996374153,0.6574585635359116,2.17,2.603313579,-12.982000000000001,2.14,1.9969999999999999,-6.67,1.19,16.703,7.4,0.942362,11,81,7.29,3,30,12.97,3.16,2.18,18,1.01,1.81,6,25,3.613,12,0,14,0,1.2339267294875553
NH2NH3,Bi,Br,0.9270955575556956,0.6071428571428571,2.17,2.603313579,-12.982000000000001,2.14,1.9969999999999999,-6.67,1.19,16.703,7.4,0.942362,18,81,7.29,3,30,11.81,2.96,3.04,36,1.2,1.96,8,25,3.364,12,10,14,0,0.6047124370316371
NH2NH3,Bi,I,0.911521130910092,0.5409090909090909,2.17,2.603313579,-12.982000000000001,2.14,1.9969999999999999,-6.67,1.19,16.703,7.4,0.942362,24,81,7.29,3,30,10.45,2.66,4.7,54,1.585,2.2,10,25,3.0589999999999997,12,20,14,0,0.5573258953841654
NH2NH3,Ca,F,1.0621775683059724,0.7518796992481203,2.17,2.603313579,-12.982000000000001,1.17,3.0,-6.67,1.0,11.87172,25.0,0.02455,6,18,6.11,0,0,17.42,3.98,0.557,10,0.405,1.33,4,12,3.4010000000000002,6,0,0,0,5.0658032235289525
NH2NH3,Ca,Cl,1.0015249071610175,0.5524861878453039,2.17,2.603313579,-12.982000000000001,1.17,3.0,-6.67,1.0,11.87172,25.0,0.02455,11,18,6.11,0,0,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,6,0,0,0,4.983933847652928
NH2NH3,Ca,Br,0.986605069696095,0.5102040816326531,2.17,2.603313579,-12.982000000000001,1.17,3.0,-6.67,1.0,11.87172,25.0,0.02455,18,18,6.11,0,0,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0,4.805332467799552
NH2NH3,Ca,I,0.9656426980578788,0.4545454545454545,2.17,2.603313579,-12.982000000000001,1.17,3.0,-6.67,1.0,11.87172,25.0,0.02455,24,18,6.11,0,0,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,6,20,0,0,4.157587596268605
NH2NH3,Cd,F,1.0854709360319807,0.7142857142857142,2.17,2.603313579,-12.982000000000001,1.4,2.215,-6.67,0.95,16.90831,7.36,0.3983,6,46,8.99,10,20,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,8,0,0,0,2.8227596181248025
NH2NH3,Cd,Cl,1.0196684743197315,0.5248618784530387,2.17,2.603313579,-12.982000000000001,1.4,2.215,-6.67,0.95,16.90831,7.36,0.3983,11,46,8.99,10,20,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,2.619786193465381
NH2NH3,Cd,Br,1.0035570468386394,0.4846938775510204,2.17,2.603313579,-12.982000000000001,1.4,2.215,-6.67,0.95,16.90831,7.36,0.3983,18,46,8.99,10,20,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,1.219643923079921
